id,Respondent.Race,White,Black,Jewish,Hispanic,Asian
41,White,50,50,35,50,20
1140,White,NA,NA,NA,NA,NA
1110,White,NA,NA,NA,NA,NA
1784,White,NA,NA,NA,NA,NA
1394,White,60,40,2,3,2
50,White,NA,NA,NA,NA,NA
2180,White,NA,NA,NA,NA,NA
2460,White,60,20,5,5,5
1636,White,NA,NA,NA,NA,NA
1152,White,NA,NA,NA,NA,NA
818,White,NA,NA,NA,NA,NA
89,White,40,30,20,10,5
151,Other,NA,NA,NA,NA,NA
2094,Black,NA,NA,NA,NA,NA
2162,White,NA,NA,NA,NA,NA
2422,White,NA,NA,NA,NA,NA
1223,Other,NA,NA,NA,NA,NA
2145,White,60,30,NA,15,2
2637,Other,NA,NA,NA,NA,NA
92,White,NA,NA,NA,NA,NA
632,White,NA,NA,NA,NA,NA
2801,White,60,30,10,20,5
2126,White,NA,NA,NA,NA,NA
916,White,NA,NA,NA,NA,NA
1282,White,NA,NA,NA,NA,NA
512,Black,25,25,10,20,10
1406,White,NA,NA,NA,NA,NA
1338,White,NA,NA,NA,NA,NA
1834,White,75,50,35,30,25
1822,White,NA,NA,NA,NA,NA
601,White,20,10,20,10,5
1946,White,NA,NA,NA,NA,NA
706,White,NA,NA,NA,NA,NA
480,Other,70,5,0,5,5
801,White,40,30,15,20,20
2168,White,NA,NA,NA,NA,NA
1672,White,NA,NA,NA,NA,NA
2490,White,NA,NA,NA,NA,NA
806,White,NA,NA,NA,NA,NA
430,Other,70,25,20,50,40
1508,White,60,20,3,10,10
2558,White,NA,NA,NA,NA,NA
750,White,NA,NA,NA,NA,NA
1227,White,40,30,7,10,10
835,White,80,20,0,0,5
1424,White,NA,NA,NA,NA,NA
1426,White,NA,NA,NA,NA,NA
2380,White,NA,NA,NA,NA,NA
236,White,NA,NA,NA,NA,NA
2690,White,NA,NA,NA,NA,NA
2044,White,NA,NA,NA,NA,NA
2342,Black,55,53,NA,NA,NA
2471,White,50,25,10,10,10
44,White,NA,NA,NA,NA,NA
2174,White,NA,NA,NA,NA,NA
1276,White,NA,NA,NA,NA,NA
585,Other,NA,NA,NA,NA,NA
337,White,68,15,7,12,3
1072,White,NA,NA,NA,NA,NA
1866,White,NA,NA,NA,NA,NA
2482,White,60,30,25,20,20
2799,White,50,20,10,10,15
1146,White,NA,NA,NA,NA,NA
1010,White,NA,NA,NA,NA,NA
2442,White,NA,NA,NA,NA,NA
384,White,NA,NA,NA,NA,NA
1963,White,50,25,8,30,8
593,White,70,20,5,15,7
149,Black,30,50,20,40,20
414,White,NA,NA,NA,NA,NA
2788,White,40,40,10,25,20
2546,White,NA,NA,NA,NA,NA
794,White,NA,NA,NA,NA,NA
2526,White,50,25,10,15,3
1618,White,NA,NA,NA,NA,NA
2572,White,NA,NA,NA,NA,NA
1561,White,70,20,5,5,5
1554,Black,40,30,20,10,10
1568,White,NA,NA,NA,NA,NA
127,White,65,75,50,65,50
4,White,75,30,40,40,10
2732,White,NA,NA,NA,NA,NA
2298,White,NA,NA,NA,NA,NA
2281,White,45,25,5,25,5
1754,White,NA,NA,NA,NA,NA
2519,White,60,40,10,25,10
2814,White,NA,NA,NA,NA,NA
1264,White,NA,NA,NA,NA,NA
564,White,NA,NA,NA,NA,NA
1199,Black,60,50,25,30,20
200,Black,NA,NA,NA,NA,NA
1241,White,43,18,6,12,7
1586,White,55,40,30,25,10
784,White,50,20,10,10,10
910,White,33,25,10,75,33
288,Black,NA,NA,NA,NA,NA
394,White,75,25,5,10,5
717,White,50,25,5,5,5
276,Black,NA,NA,NA,NA,NA
644,White,50,40,40,60,30
1627,White,50,50,NA,30,NA
1950,White,60,20,5,10,5
454,Black,NA,NA,NA,NA,NA
993,White,50,30,20,20,30
870,White,50,20,5,15,10
548,Black,NA,NA,NA,NA,NA
2291,White,60,10,6,15,3
1925,White,50,30,20,20,10
2125,White,55,30,10,40,15
824,White,70,50,30,30,20
1421,White,45,30,6,13,20
187,White,70,20,4,8,8
2375,White,70,20,15,10,15
1624,Other,50,30,NA,10,10
1566,White,40,20,15,15,10
898,White,60,15,5,15,5
395,White,70,10,10,10,10
2400,Black,NA,NA,NA,NA,NA
123,White,NA,NA,NA,NA,NA
692,White,60,15,5,35,5
300,Black,NA,NA,NA,NA,NA
1139,White,50,40,20,40,20
1484,Black,NA,NA,NA,NA,NA
516,Black,NA,NA,NA,NA,NA
1021,White,60,30,2,4,2
1138,White,60,40,40,30,30
1604,Black,30,20,10,10,5
1023,White,40,46,3,30,15
1490,White,50,40,10,30,NA
264,White,68,20,68,12,4
11,White,70,10,2,15,5
2202,White,80,80,30,70,20
1478,Black,NA,NA,NA,NA,NA
1181,White,65,45,35,30,15
47,White,80,7,15,35,5
751,White,70,50,NA,40,35
1648,Black,55,35,30,20,35
2212,White,68,30,8,10,8
2416,White,50,30,30,20,10
1880,Black,NA,NA,NA,NA,NA
2267,White,NA,NA,NA,NA,NA
294,Black,NA,NA,NA,NA,NA
2748,White,64,48,22,38,12
2196,White,50,20,20,3,3
2513,White,70,6,6,6,6
1396,Black,NA,NA,NA,NA,NA
378,White,65,15,7,25,8
1447,White,60,20,10,30,10
